,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sinjar,SY,0,1524007705,37,35.59,37,52.13,4.72
1,bela,PK,0,1524007706,42,26.23,66.31,62.7,3.83
2,mangrol,IN,0,1524007706,34,25.33,76.51,67.92,4.61
3,la ligua,CL,0,1524006000,72,-32.45,-71.23,60.8,4.7
4,nadvoitsy,RU,20,1524007706,85,63.89,34.27,28.01,2.93
5,dingli,MT,0,1524005100,87,35.86,14.38,59,4.7
6,yokadouma,CM,56,1524007707,98,3.52,15.05,68.1,3.83
7,madingou,CG,8,1524007707,79,-4.17,13.56,75.93,3.38
8,uyskoye,RU,36,1524007708,77,54.37,60.01,19.68,4.61
9,damara,CF,0,1524006000,74,4.96,18.7,82.4,2.24
10,damghan,IR,36,1524007708,80,36.17,54.34,34.13,2.82
11,svetlogorsk,RU,40,1524006000,58,53.14,59.15,28.4,6.71
12,kalabo,ZM,88,1524007709,42,-15,22.67,74.4,8.75
13,esil,KZ,80,1524007709,64,51.96,66.41,31.47,7.63
14,salinopolis,BR,64,1524007710,100,-0.61,-47.36,79.35,6.96
15,boca do acre,BR,56,1524007710,90,-8.76,-67.39,77.37,1.92
16,atakpame,TG,0,1524007710,75,7.53,1.13,74.94,6.17
17,salamiyah,SY,0,1524007710,40,35.01,37.05,42.27,4.16
18,lenger,KZ,90,1524006000,93,42.18,69.89,44.6,13.42
19,samara,RU,0,1524004200,52,53.2,50.11,44.6,0.69
20,velyka lepetykha,UA,76,1524007711,72,47.18,33.94,52.89,4.72
21,abnub,EG,0,1524002400,26,27.27,31.15,78.8,11.41
22,libourne,FR,0,1524006000,82,44.91,-0.24,57.2,3.36
23,mirnyy,RU,88,1524007712,94,56.57,36.46,53.34,8.75
24,loandjili,CG,40,1524006000,79,-4.77,11.87,84.2,8.05
25,parana,BR,20,1524006000,88,-7.52,-72.89,78.8,1.12
26,visby,SE,8,1524005400,93,57.64,18.3,42.8,8.05
27,whitley bay,GB,0,1524005400,76,55.04,-1.44,51.8,6.93
28,severnyy-kospashskiy,RU,0,1524007714,75,59.09,57.8,5.19,3.15
29,brcko,BA,40,1524006000,93,44.87,18.81,57.2,8.05
30,mayor pablo lagerenza,PY,20,1524007715,87,-19.93,-60.77,71.79,3.94
31,idil,TR,0,1524007715,64,37.34,41.89,45.2,2.82
32,cuamba,MZ,0,1524007715,96,-14.8,36.54,64.23,6.29
33,tetovo,BG,76,1524007716,79,43.82,26.29,51.99,1.7
34,kasempa,ZM,32,1524007716,83,-13.46,25.83,60.32,3.15
35,wajir,KE,76,1524007716,92,1.75,40.07,73.01,2.93
36,pecky,CZ,0,1524006000,87,50.09,15.03,50,1.12
37,rypefjord,NO,40,1524005400,98,70.63,23.67,32,2.24
38,weligama,LK,64,1524007717,100,5.97,80.42,79.22,3.27
39,betare oya,CM,20,1524007717,88,5.6,14.08,70.17,3.94
40,eydhafushi,MV,88,1524007718,100,5.1,73.07,85.16,6.17
41,oktyabrskoye,RU,76,1524007718,73,56.73,85.44,17.57,3.38
42,zhezkazgan,KZ,40,1524006000,77,47.8,67.71,35.6,11.18
43,surt,LY,20,1524007600,100,31.21,16.59,60.68,11.99
44,hwange,ZW,20,1524007719,81,-18.35,26.5,62.3,2.82
45,callaway,US,1,1524006960,34,46.98,-95.91,51.8,8.05
46,corralillo,CU,0,1524007720,74,22.98,-80.59,73.59,10.2
47,tomelloso,ES,0,1524007720,64,39.16,-3.02,47.81,6.96
48,saint anthony,US,40,1524005760,28,43.97,-111.68,44.6,8.05
49,batouri,CM,68,1524007721,83,4.44,14.36,72.38,6.17
50,qorveh,IR,8,1524007721,70,35.17,47.8,27.6,0.81
51,upata,VE,56,1524007721,97,8.02,-62.41,69.99,4.94
52,mwense,ZM,44,1524007721,94,-10.39,28.7,63.38,2.37
53,lyaskelya,RU,92,1524007722,94,61.77,31.02,39.75,8.41
54,santa fe,AR,48,1524007722,62,-31.62,-60.7,75.08,5.95
55,sechura,PE,32,1524007722,68,-5.56,-80.82,74.85,9.19
56,belyy yar,RU,0,1524006000,74,53.6,91.39,30.2,8.95
57,abu dhabi,AE,0,1524006000,65,24.47,54.37,80.6,10.29
58,somotillo,NI,20,1524006000,46,13.04,-86.91,93.2,4.7
59,jega,NG,8,1524007723,43,12.22,4.38,79.13,6.17
60,teguldet,RU,0,1524007724,69,57.31,88.17,15.41,6.29
61,high rock,BS,20,1524006000,60,26.63,-78.28,73.4,8.05
62,barentu,ER,0,1524007724,50,15.11,37.59,58.07,1.92
63,pedasi,PA,0,1524007725,93,7.53,-80.03,81.6,15.79
64,kontagora,NG,0,1524007725,58,10.4,5.47,80.43,5.73
65,nehalim,IL,0,1524005400,59,32.06,34.91,64.4,4.7
66,mulchen,CL,0,1524007726,85,-37.72,-72.23,44.21,5.95
67,baherden,TM,20,1524007726,79,38.44,57.43,37.68,2.71
68,minervino murge,IT,0,1524005400,93,41.09,16.08,57.2,4.7
69,ellisras,ZA,0,1524007726,66,-23.67,27.74,60.68,5.95
70,alta,NO,20,1524005400,86,69.97,23.27,26.6,2.24
71,karaidel,RU,32,1524007727,85,55.83,56.91,24.77,4.61
72,goderich,CA,92,1524007727,86,43.74,-81.71,33.32,16.69
73,aasiaat,GL,0,1524007728,88,68.71,-52.87,16.31,0.25
74,jacqueville,CI,20,1524006000,83,5.21,-4.42,84.2,8.05
75,carutapera,BR,48,1524007728,98,-1.2,-46.02,76.74,3.71
76,lagunas,PE,44,1524007728,87,-5.23,-75.68,77.42,2.59
77,nara,JP,75,1524004200,100,34.68,135.8,57.2,2.24
78,arsk,RU,0,1524006000,64,56.09,49.88,37.4,4.47
79,sari,IR,0,1524007729,92,36.57,53.06,40.74,3.6
80,san rafael,AR,0,1524007730,48,-34.61,-68.33,51.68,4.83
81,orlovskiy,RU,8,1524007730,77,46.87,42.05,43.8,2.93
82,chicama,PE,40,1524006000,82,-7.84,-79.15,68,9.17
83,carnarvon,ZA,80,1524007731,97,-30.97,22.13,55.37,8.52
84,mapiripan,CO,92,1524007518,97,2.89,-72.13,71.07,5.84
85,urbana,US,75,1524006900,61,40.11,-88.21,51.8,4.7
86,umm lajj,SA,0,1524007732,84,25.02,37.27,69.5,4.94
87,kristiansand,US,1,1524005940,30,37.36,-76.77,55.4,9.75
88,karla,EE,90,1524005400,93,59.37,24.93,39.2,10.29
89,kangasala,FI,75,1524005400,100,61.46,24.07,39.2,5.82
90,tessalit,ML,0,1524007733,26,20.2,1.01,59.15,5.39
91,bilaspur,IN,32,1524007733,70,22.08,82.15,73.55,2.59
92,keita,NG,20,1524006000,83,7.1,3.65,82.4,2.24
93,anamur,TR,0,1524007734,79,36.08,32.84,62.75,1.59
94,jablanica,BA,40,1524006000,77,43.66,17.76,59,4.7
95,chirkey,RU,20,1524006000,93,42.96,46.98,35.6,4.47
96,harnosand,SE,0,1524005400,92,62.63,17.94,32,1.12
97,the valley,AI,40,1524006000,78,18.22,-63.06,78.8,9.17
98,tyup,KG,92,1524007735,98,42.73,78.36,31.74,0.92
99,susehri,TR,0,1524007735,79,40.16,38.09,29.63,1.59
100,vasilyevskiy mokh,RU,92,1524007735,98,57.01,35.92,53.97,8.75
101,ormara,PK,0,1524007736,77,25.21,64.64,78.32,10.65
102,acari,BR,88,1524007736,81,-6.44,-36.64,73.95,7.74
103,thatta,IN,0,1524005700,60,31.7,74.64,75.2,5.82
104,puerto asis,CO,32,1524007737,89,0.51,-76.5,74.4,2.37
105,mmabatho,ZA,56,1524006000,87,-25.85,25.61,60.8,4.7
106,brindisi,IT,75,1524005400,93,40.63,17.94,59,9.17
107,montes altos,BR,76,1524007737,87,-5.83,-47.07,74.81,3.94
108,kathmandu,NP,20,1524005400,93,27.71,85.32,59,2.24
109,turmalina,BR,68,1524007738,86,-17.29,-42.73,65.67,12.33
110,kambove,CD,0,1524007738,88,-10.88,26.6,57.35,2.37
111,mamallapuram,IN,40,1524006000,83,12.63,80.17,84.2,5.82
112,itacoatiara,BR,76,1524007739,93,-3.14,-58.44,77.33,3.15
113,mazagao,BR,20,1524006000,100,-0.12,-51.29,78.8,5.82
114,caraz,PE,0,1524007740,63,-9.05,-77.81,54.65,1.36
115,kralendijk,BQ,40,1524002100,78,12.15,-68.27,82.4,19.46
116,dubti,ET,56,1524007740,66,11.74,41.09,74.18,2.93
117,warrington,GB,40,1524005400,87,53.39,-2.59,55.4,9.17
118,maine-soroa,NE,24,1524007741,51,13.21,12.02,79.08,3.04
119,valvedditturai,LK,0,1524007741,100,9.82,80.17,80.93,7.18
120,soure,PT,0,1524006000,93,40.06,-8.63,53.6,1.12
121,alberton,ZA,36,1524006000,93,-26.25,28.13,60.8,2.93
122,asosa,ET,0,1524007742,80,10.07,34.53,65.85,4.38
123,eyl,SO,80,1524007742,100,7.98,49.82,75.62,2.59
124,buenaventura,CO,92,1524007743,99,3.89,-77.07,70.44,1.7
125,rentina,GR,20,1524005400,76,40.66,23.61,53.6,5.82
126,oromocto,CA,90,1524006000,100,45.85,-66.47,41,6.93
127,chudniv,UA,56,1524007743,84,50.05,28.12,57.03,11.65
128,aksarka,RU,24,1524007744,75,66.56,67.8,5.6,15.12
129,pailon,BO,75,1524006000,94,-17.66,-62.72,77,3.36
130,hun,BE,0,1524007200,71,50.34,4.87,57.2,3.36
131,pilar,AR,0,1524006000,83,-34.46,-58.91,75.2,5.82
132,natal,BR,20,1524006000,88,-5.81,-35.21,77,4.7
133,volksrust,ZA,32,1524007745,88,-27.36,29.88,51.9,2.59
134,uyuni,BO,0,1524007746,31,-20.46,-66.82,42.63,8.41
135,xai-xai,MZ,0,1524007746,100,-25.04,33.64,69.9,4.94
136,rumonge,BI,48,1524007746,100,-3.97,29.44,72.02,3.94
137,la asuncion,EC,44,1524007746,83,-1.64,-78.74,49.07,1.48
138,bay roberts,CA,90,1524006000,86,47.58,-53.28,26.6,9.17
139,santa vitoria do palmar,BR,20,1524007747,76,-33.52,-53.37,69.63,14.79
140,torva,EE,24,1524005400,93,58,25.93,41,12.75
141,gumdag,TM,36,1524007747,67,39.2,54.59,42.18,2.82
142,niquero,CU,64,1524007748,100,20.04,-77.58,76.38,3.94
143,thyboron,DK,32,1524007748,81,56.7,8.21,45.47,15.12
144,merke,KZ,92,1524007748,100,42.87,73.19,30.48,2.15
145,walvis bay,NA,0,1524006000,77,-22.95,14.51,64.4,10.98
146,tabou,CI,64,1524007749,100,4.42,-7.36,80.25,7.74
147,lagdo,CM,64,1524007749,90,9.06,13.67,75.84,2.26
148,calama,CL,0,1524006000,42,-22.46,-68.93,64.4,18.34
149,san agustin acasaguastlan,GT,64,1524007750,48,14.95,-89.97,76.2,1.81
150,tranas,SE,76,1524005400,87,58.04,14.98,44.6,8.05
151,tshela,CD,8,1524007751,85,-4.99,12.94,74.18,4.72
152,monte alegre,BR,56,1524007751,96,-2,-54.07,74.22,2.48
153,iberia,PE,88,1524007751,82,-11.41,-69.49,78.27,2.59
154,tosya,TR,12,1524007752,76,41.02,34.04,40.02,2.71
155,oranjestad,AW,40,1524006000,78,12.52,-70.03,82.4,21.92
156,las palmas,PE,40,1524006000,74,-6.53,-76.35,82.4,1.81
157,nizwa,OM,0,1524007753,60,22.93,57.53,64.46,1.81
158,tibati,CM,24,1524007753,93,6.47,12.63,64.5,2.93
159,aleksandrov gay,RU,56,1524007753,55,50.14,48.57,45.2,6.73
160,black river,JM,20,1524006000,69,18.03,-77.85,82.4,11.41
161,bhadrachalam,IN,0,1524007754,93,17.67,80.89,76.7,5.39
162,ust-tarka,RU,0,1524007754,65,55.56,75.71,6.18,3.6
163,picton,AU,75,1524006000,49,-34.17,150.61,69.8,5.82
164,okoneshnikovo,RU,8,1524007755,79,54.84,75.08,18.6,3.6
165,veraval,FR,0,1524006000,71,49.65,0.71,60.8,5.82
166,kristiansund,NO,92,1524005400,93,63.12,7.73,44.6,4.7
167,waddan,LY,0,1524007756,39,29.16,16.14,64.5,9.19
168,springdale,US,5,1524005880,39,36.19,-94.13,80.6,23.04
169,jupiter,US,20,1524005940,56,26.93,-80.09,71.6,6.93
170,krasnystaw,PL,0,1524007757,74,50.98,23.16,50.51,11.21
171,nova vicosa,BR,100,1524007757,99,-17.89,-39.37,73.05,13.22
172,puerto cabezas,NI,75,1524006000,74,14.04,-83.39,82.4,9.17
173,san andres,PH,0,1524007758,100,13.32,122.68,81.47,10.98
174,misasi,TZ,75,1524002400,93,-3.01,33.09,66.2,2.93
175,bonavista,CA,44,1524007759,96,48.65,-53.11,28.55,9.08
176,sisimiut,GL,48,1524007759,76,66.94,-53.67,12.8,1.36
177,liverpool,GB,40,1524005400,87,53.41,-2.98,55.4,9.17
178,udankudi,IN,76,1524007760,90,8.43,78.03,80.48,4.72
179,dharchula,IN,0,1524007760,68,29.85,80.53,36.2,2.93
180,joshimath,IN,0,1524007760,100,30.57,79.57,9.38,0.69
181,prudentopolis,BR,0,1524007761,80,-25.21,-50.98,63.78,5.95
182,vyartsilya,RU,100,1524007761,93,62.18,30.69,36.38,9.75
183,mount pleasant,US,1,1524005760,39,33.16,-94.97,82.4,19.46
184,trairi,BR,92,1524007762,100,-3.28,-39.27,75.8,3.83
185,rovaniemi,FI,0,1524005400,60,66.5,25.72,39.2,2.37
186,tahoua,NE,0,1524007763,24,14.89,5.26,78.9,9.86
187,pinar del rio,CU,0,1524007763,46,22.42,-83.7,80.12,6.4
188,barda,RU,0,1524007763,85,56.93,55.59,16.85,2.48
189,sidi ali,DZ,0,1524007764,90,36.1,0.42,47.27,2.59
190,concordia,AR,0,1524007764,69,-31.4,-58.02,75.17,6.06
191,pankrushikha,RU,12,1524007764,63,53.83,80.35,19.1,7.29
192,midland,US,0,1524005700,3,32,-102.08,93.2,19.46
193,ramshir,IR,0,1524006000,63,30.89,49.41,66.2,4.7
194,murindo,CO,92,1524007765,100,6.98,-76.75,73.23,1.14
195,isla mujeres,MX,0,1524007765,78,21.23,-86.73,76.52,8.97
196,erzurum,TR,0,1524005400,68,39.91,41.27,28.4,3.36
197,chake chake,TZ,56,1524007766,100,-5.25,39.77,81.15,15.01
198,mana,RS,90,1524006000,100,43.52,20.24,55.4,4.7
199,eenhana,NA,76,1524007767,94,-17.48,16.34,65.27,3.38
200,kutum,SD,0,1524007767,23,14.2,24.66,58.25,6.51
201,schruns,AT,0,1524005700,70,47.08,9.92,48.2,5.82
202,grand-lahou,CI,8,1524007767,89,5.24,-5,78.72,4.38
203,conde,BR,88,1524007768,86,-11.81,-37.61,78.32,7.52
204,zalaszentgrot,HU,0,1524005100,71,46.94,17.08,53.6,2.24
205,tromso,NO,0,1524005400,100,69.65,18.96,32,3.36
206,alta floresta,BR,24,1524007769,82,-9.87,-56.08,77.78,3.6
207,kanjiza,RS,75,1524005100,82,46.06,20.05,59,6.93
208,ferme-neuve,CA,92,1524007769,95,46.7,-75.45,38.72,5.84
209,gbadolite,CD,44,1524007770,88,4.28,21,74.22,5.28
210,boysun,UZ,88,1524007770,98,38.2,67.2,29.85,1.7
211,changji,CN,0,1524007770,83,32.07,116.17,63.02,4.72
212,gornopravdinsk,RU,0,1524007770,73,60.06,69.92,6.27,2.93
213,xapuri,BR,20,1524006000,70,-10.65,-68.5,84.2,3.04
214,tanout,NE,92,1524007771,21,14.97,8.88,79.53,5.73
215,portree,GB,80,1524007771,90,57.41,-6.19,48.62,22.39
216,la romana,DO,75,1524006000,74,18.43,-68.97,80.6,4.7
217,aksu,KZ,0,1524006000,79,52.04,76.93,19.4,4.47
218,barsovo,RU,0,1524006000,84,61.17,73.17,-2.21,6.71
219,urambo,TZ,64,1524007773,99,-5.07,32.07,64.05,2.37
220,muslyumovo,RU,0,1524007773,93,55.31,53.19,30.35,4.72
221,tanhacu,BR,68,1524007773,97,-14.02,-41.25,66.75,5.73
222,malanje,AO,44,1524007773,98,-9.54,16.35,64.55,2.71
223,japura,ID,92,1524007774,98,-0.42,102.29,72.65,2.71
224,itamarandiba,BR,92,1524007774,96,-17.86,-42.86,63.47,9.64
